Date,Sale_Prices,LagPrice
2008-03-31,397600.0,
2008-04-30,395600.0,397600.0
2008-05-31,394400.0,395600.0
2008-06-30,394000.0,394400.0
2008-07-31,398000.0,394000.0
2008-08-31,390700.0,398000.0
2008-09-30,391500.0,390700.0
2008-10-31,379800.0,391500.0
2008-11-30,379900.0,379800.0
2008-12-31,370800.0,379900.0
2009-01-31,373500.0,370800.0
2009-02-28,369800.0,373500.0
2009-03-31,370600.0,369800.0
2009-04-30,368900.0,370600.0
2009-05-31,365400.0,368900.0
2009-06-30,369200.0,365400.0
2009-07-31,362500.0,369200.0
2009-08-31,363000.0,362500.0
2009-09-30,358800.0,363000.0
2009-10-31,353700.0,358800.0
2009-11-30,354600.0,353700.0
2009-12-31,347000.0,354600.0
2010-01-31,362500.0,347000.0
2010-02-28,351100.0,362500.0
2010-03-31,344400.0,351100.0
2010-04-30,333100.0,344400.0
2010-05-31,343000.0,333100.0
2010-06-30,345100.0,343000.0
2010-07-31,346100.0,345100.0
2010-08-31,362800.0,346100.0
2010-09-30,382000.0,362800.0
2010-10-31,382400.0,382000.0
2010-11-30,378500.0,382400.0
2010-12-31,386800.0,378500.0
2011-01-31,407400.0,386800.0
2011-02-28,392800.0,407400.0
2011-03-31,378300.0,392800.0
2011-04-30,356000.0,378300.0
2011-05-31,357500.0,356000.0
2011-06-30,360900.0,357500.0
2011-07-31,356500.0,360900.0
2011-08-31,362300.0,356500.0
2011-09-30,365900.0,362300.0
2011-10-31,370200.0,365900.0
2011-11-30,364600.0,370200.0
2011-12-31,365900.0,364600.0
2012-01-31,371600.0,365900.0
2012-02-29,373500.0,371600.0
2012-03-31,361000.0,373500.0
2012-04-30,356600.0,361000.0
2012-05-31,371100.0,356600.0
2012-06-30,383500.0,371100.0
2012-07-31,397200.0,383500.0
2012-08-31,398700.0,397200.0
2012-09-30,406400.0,398700.0
2012-10-31,411500.0,406400.0
2012-11-30,413000.0,411500.0
2012-12-31,421600.0,413000.0
2013-01-31,431500.0,421600.0
2013-02-28,445700.0,431500.0
2013-03-31,439800.0,445700.0
2013-04-30,439400.0,439800.0
2013-05-31,431600.0,439400.0
2013-06-30,433000.0,431600.0
2013-07-31,429200.0,433000.0
2013-08-31,431900.0,429200.0
2013-09-30,445100.0,431900.0
2013-10-31,446500.0,445100.0
2013-11-30,450900.0,446500.0
2013-12-31,446100.0,450900.0
2014-01-31,452500.0,446100.0
2014-02-28,449800.0,452500.0
2014-03-31,454500.0,449800.0
2014-04-30,454100.0,454500.0
2014-05-31,462600.0,454100.0
2014-06-30,466600.0,462600.0
2014-07-31,474300.0,466600.0
2014-08-31,476000.0,474300.0
2014-09-30,472100.0,476000.0
2014-10-31,473200.0,472100.0
2014-11-30,474700.0,473200.0
2014-12-31,476300.0,474700.0
2015-01-31,480100.0,476300.0
2015-02-28,478400.0,480100.0
2015-03-31,487700.0,478400.0
2015-04-30,491600.0,487700.0
2015-05-31,499400.0,491600.0
2015-06-30,506200.0,499400.0
2015-07-31,504900.0,506200.0
2015-08-31,504700.0,504900.0
2015-09-30,499700.0,504700.0
2015-10-31,498300.0,499700.0
2015-11-30,496300.0,498300.0
2015-12-31,498900.0,496300.0
2016-01-31,496700.0,498900.0
2016-02-29,505400.0,496700.0
2016-03-31,503000.0,505400.0
2016-04-30,506400.0,503000.0
2016-05-31,505700.0,506400.0
2016-06-30,505900.0,505700.0
2016-07-31,512900.0,505900.0
2016-08-31,516700.0,512900.0
2016-09-30,519800.0,516700.0
2016-10-31,526800.0,519800.0
2016-11-30,530900.0,526800.0
2016-12-31,534900.0,530900.0
2017-01-31,539800.0,534900.0
2017-02-28,536400.0,539800.0
2017-03-31,543100.0,536400.0
2017-04-30,531900.0,543100.0
2017-05-31,529700.0,531900.0
2017-06-30,528700.0,529700.0
2017-07-31,537700.0,528700.0
2017-08-31,531200.0,537700.0
2017-09-30,523700.0,531200.0
2017-10-31,518400.0,523700.0
2017-11-30,514600.0,518400.0
