Date,Sale_Prices,LagPrice
2008-03-31,271900.0,
2008-04-30,269100.0,271900.0
2008-05-31,265200.0,269100.0
2008-06-30,257800.0,265200.0
2008-07-31,251200.0,257800.0
2008-08-31,250900.0,251200.0
2008-09-30,251800.0,250900.0
2008-10-31,253400.0,251800.0
2008-11-30,253800.0,253400.0
2008-12-31,249100.0,253800.0
2009-01-31,250100.0,249100.0
2009-02-28,249200.0,250100.0
2009-03-31,253200.0,249200.0
2009-04-30,251200.0,253200.0
2009-05-31,243900.0,251200.0
2009-06-30,238900.0,243900.0
2009-07-31,228400.0,238900.0
2009-08-31,231900.0,228400.0
2009-09-30,231900.0,231900.0
2009-10-31,238400.0,231900.0
2009-11-30,234700.0,238400.0
2009-12-31,234900.0,234700.0
2010-01-31,235700.0,234900.0
2010-02-28,237400.0,235700.0
2010-03-31,236700.0,237400.0
2010-04-30,232100.0,236700.0
2010-05-31,227200.0,232100.0
2010-06-30,219600.0,227200.0
2010-07-31,209700.0,219600.0
2010-08-31,204000.0,209700.0
2010-09-30,203500.0,204000.0
2010-10-31,210600.0,203500.0
2010-11-30,214200.0,210600.0
2010-12-31,213600.0,214200.0
2011-01-31,220900.0,213600.0
2011-02-28,229600.0,220900.0
2011-03-31,230300.0,229600.0
2011-04-30,222800.0,230300.0
2011-05-31,211500.0,222800.0
2011-06-30,210200.0,211500.0
2011-07-31,204900.0,210200.0
2011-08-31,207100.0,204900.0
2011-09-30,204400.0,207100.0
2011-10-31,207300.0,204400.0
2011-11-30,209300.0,207300.0
2011-12-31,213200.0,209300.0
2012-01-31,217200.0,213200.0
2012-02-29,214100.0,217200.0
2012-03-31,218000.0,214100.0
2012-04-30,218900.0,218000.0
2012-05-31,225700.0,218900.0
2012-06-30,226900.0,225700.0
2012-07-31,225200.0,226900.0
2012-08-31,222600.0,225200.0
2012-09-30,216700.0,222600.0
2012-10-31,222900.0,216700.0
2012-11-30,225500.0,222900.0
2012-12-31,228200.0,225500.0
2013-01-31,229000.0,228200.0
2013-02-28,223500.0,229000.0
2013-03-31,225900.0,223500.0
2013-04-30,224100.0,225900.0
2013-05-31,230800.0,224100.0
2013-06-30,233500.0,230800.0
2013-07-31,240400.0,233500.0
2013-08-31,241900.0,240400.0
2013-09-30,240600.0,241900.0
2013-10-31,234900.0,240600.0
2013-11-30,235500.0,234900.0
2013-12-31,235700.0,235500.0
2014-01-31,238300.0,235700.0
2014-02-28,238200.0,238300.0
2014-03-31,242000.0,238200.0
2014-04-30,240100.0,242000.0
2014-05-31,243500.0,240100.0
2014-06-30,242100.0,243500.0
2014-07-31,243600.0,242100.0
2014-08-31,241400.0,243600.0
2014-09-30,242800.0,241400.0
2014-10-31,242300.0,242800.0
2014-11-30,241700.0,242300.0
2014-12-31,241000.0,241700.0
2015-01-31,239400.0,241000.0
2015-02-28,236700.0,239400.0
2015-03-31,235600.0,236700.0
2015-04-30,237900.0,235600.0
2015-05-31,238500.0,237900.0
2015-06-30,244600.0,238500.0
2015-07-31,243500.0,244600.0
2015-08-31,243800.0,243500.0
2015-09-30,240400.0,243800.0
2015-10-31,239700.0,240400.0
2015-11-30,241000.0,239700.0
2015-12-31,240700.0,241000.0
2016-01-31,240400.0,240700.0
2016-02-29,244000.0,240400.0
2016-03-31,245200.0,244000.0
2016-04-30,248900.0,245200.0
2016-05-31,247700.0,248900.0
2016-06-30,247700.0,247700.0
2016-07-31,249400.0,247700.0
2016-08-31,250500.0,249400.0
2016-09-30,249800.0,250500.0
2016-10-31,252300.0,249800.0
2016-11-30,252600.0,252300.0
2016-12-31,253500.0,252600.0
2017-01-31,253400.0,253500.0
2017-02-28,256400.0,253400.0
2017-03-31,259200.0,256400.0
2017-04-30,260000.0,259200.0
2017-05-31,260500.0,260000.0
2017-06-30,260900.0,260500.0
2017-07-31,257500.0,260900.0
2017-08-31,254700.0,257500.0
2017-09-30,256900.0,254700.0
2017-10-31,259200.0,256900.0
2017-11-30,263100.0,259200.0
