Date,Sale_Prices,LagPrice
2008-03-31,253700.0,
2008-04-30,250700.0,253700.0
2008-05-31,241500.0,250700.0
2008-06-30,236300.0,241500.0
2008-07-31,233800.0,236300.0
2008-08-31,233600.0,233800.0
2008-09-30,233000.0,233600.0
2008-10-31,229300.0,233000.0
2008-11-30,224700.0,229300.0
2008-12-31,217700.0,224700.0
2009-01-31,217300.0,217700.0
2009-02-28,220200.0,217300.0
2009-03-31,221800.0,220200.0
2009-04-30,218800.0,221800.0
2009-05-31,214400.0,218800.0
2009-06-30,213600.0,214400.0
2009-07-31,216000.0,213600.0
2009-08-31,219900.0,216000.0
2009-09-30,225700.0,219900.0
2009-10-31,227200.0,225700.0
2009-11-30,225000.0,227200.0
2009-12-31,222700.0,225000.0
2010-01-31,226900.0,222700.0
2010-02-28,231500.0,226900.0
2010-03-31,232200.0,231500.0
2010-04-30,227500.0,232200.0
2010-05-31,221600.0,227500.0
2010-06-30,218200.0,221600.0
2010-07-31,221600.0,218200.0
2010-08-31,228300.0,221600.0
2010-09-30,234200.0,228300.0
2010-10-31,231400.0,234200.0
2010-11-30,228600.0,231400.0
2010-12-31,226300.0,228600.0
2011-01-31,225000.0,226300.0
2011-02-28,223800.0,225000.0
2011-03-31,218300.0,223800.0
2011-04-30,215800.0,218300.0
2011-05-31,211300.0,215800.0
2011-06-30,212100.0,211300.0
2011-07-31,217000.0,212100.0
2011-08-31,220700.0,217000.0
2011-09-30,225300.0,220700.0
2011-10-31,219200.0,225300.0
2011-11-30,216900.0,219200.0
2011-12-31,210900.0,216900.0
2012-01-31,212900.0,210900.0
2012-02-29,214700.0,212900.0
2012-03-31,219700.0,214700.0
2012-04-30,225100.0,219700.0
2012-05-31,229700.0,225100.0
2012-06-30,233600.0,229700.0
2012-07-31,237500.0,233600.0
2012-08-31,239100.0,237500.0
2012-09-30,244700.0,239100.0
2012-10-31,242800.0,244700.0
2012-11-30,247500.0,242800.0
2012-12-31,242900.0,247500.0
2013-01-31,245600.0,242900.0
2013-02-28,241500.0,245600.0
2013-03-31,242300.0,241500.0
2013-04-30,242300.0,242300.0
2013-05-31,244600.0,242300.0
2013-06-30,251300.0,244600.0
2013-07-31,251500.0,251300.0
2013-08-31,255600.0,251500.0
2013-09-30,254400.0,255600.0
2013-10-31,255900.0,254400.0
2013-11-30,252700.0,255900.0
2013-12-31,248900.0,252700.0
2014-01-31,247500.0,248900.0
2014-02-28,247500.0,247500.0
2014-03-31,248200.0,247500.0
2014-04-30,248800.0,248200.0
2014-05-31,246900.0,248800.0
2014-06-30,247200.0,246900.0
2014-07-31,247400.0,247200.0
2014-08-31,249400.0,247400.0
2014-09-30,249000.0,249400.0
2014-10-31,249500.0,249000.0
2014-11-30,248600.0,249500.0
2014-12-31,250400.0,248600.0
2015-01-31,251800.0,250400.0
2015-02-28,258000.0,251800.0
2015-03-31,258700.0,258000.0
2015-04-30,259600.0,258700.0
2015-05-31,256500.0,259600.0
2015-06-30,255900.0,256500.0
2015-07-31,256300.0,255900.0
2015-08-31,255400.0,256300.0
2015-09-30,254500.0,255400.0
2015-10-31,249500.0,254500.0
2015-11-30,244300.0,249500.0
2015-12-31,242100.0,244300.0
2016-01-31,247700.0,242100.0
2016-02-29,253200.0,247700.0
2016-03-31,254500.0,253200.0
2016-04-30,252900.0,254500.0
2016-05-31,251600.0,252900.0
2016-06-30,253400.0,251600.0
2016-07-31,254400.0,253400.0
2016-08-31,254600.0,254400.0
2016-09-30,255500.0,254600.0
2016-10-31,254700.0,255500.0
2016-11-30,255500.0,254700.0
2016-12-31,252800.0,255500.0
2017-01-31,255900.0,252800.0
2017-02-28,261900.0,255900.0
2017-03-31,264600.0,261900.0
2017-04-30,266400.0,264600.0
2017-05-31,261700.0,266400.0
2017-06-30,262300.0,261700.0
2017-07-31,260900.0,262300.0
2017-08-31,261100.0,260900.0
2017-09-30,261600.0,261100.0
2017-10-31,257400.0,261600.0
2017-11-30,257100.0,257400.0
